lat,lon,ele,time,temperature,ds,dt,v,a,dh,phi,F_D,F_H,F_A,F_Antrieb
47.593878,12.121876,628.971089,2024-08-23 17:38:22.741000+00:00,28.5502043243182,20.83773268770797,4.829,4.315123770492435,-0.06162332794727979,0.5221910000000207,0.025054632260892978,5.132218300755602,24.576022856316083,-6.162332794727979,23.545908362343702
47.594101,12.122465,630.240431,2024-08-23 17:38:34.111000+00:00,27.928428523440942,50.65225756851807,11.37,4.454903919834483,0.012293768631666499,1.2693419999999378,0.025054685523964858,5.470100312697425,24.576075090990518,1.22937686316665,31.275552266854593
47.594138,12.122846,630.963783,2024-08-23 17:38:40.756000+00:00,28.55712846795703,28.864922066811868,6.645,4.343855841506677,-0.016711524202830074,0.7233520000000908,0.02505465402042067,5.2007911594750835,24.576044195713255,-1.6711524202830075,28.10568293490533
47.594108,12.123214,631.660355,2024-08-23 17:38:47.070000+00:00,28.543638215126165,27.796267591619255,6.314,4.402323026863994,0.009259927994506879,0.6965719999999465,0.025054667396651718,5.341735989056198,24.576057313677527,0.9259927994506879,30.843786102184414
47.593917,12.124947,636.688257,2024-08-23 17:39:25.836000+00:00,27.33155667852921,131.67752529410012,38.766,3.396727165405255,-0.025940150169187912,5.02790200000004,0.038164907826154976,3.1800938421031817,37.43068635850204,-2.5940150169187914,38.01676518368643
47.593732,12.125542,638.583296,2024-08-23 17:39:40.366000+00:00,28.65285256674109,49.131601528090705,14.53,3.381390332284288,-0.00105552877639139,1.895038999999997,0.038551564189722796,3.1514412846600943,37.809717233399326,-0.105552877639139,40.85560564042028
47.593559,12.125995,640.171703,2024-08-23 17:39:51.637000+00:00,28.56453273489566,39.038265547035294,11.271,3.4636026569989613,0.007294146456807124,1.588406999999961,0.040666030739958454,3.3065472651353045,39.88238161243402,0.7294146456807123,43.91834352325004
47.593504,12.126328,641.295557,2024-08-23 17:39:59.415000+00:00,29.02810318240671,25.709096541332745,7.778,3.3053608307190467,-0.02034479638466374,1.1238540000000512,0.04368644175466574,3.011316192232502,42.84276871864268,-2.034479638466374,43.81960527240881
47.59351,12.126461,641.732513,2024-08-23 17:40:02.328000+00:00,29.60447804747267,9.99573525670256,2.913,3.431423019808637,0.04327572574307941,0.4369560000000092,0.04368642985874247,3.245391748703018,42.84275705987622,4.327572574307941,50.415721382887185
47.593569,12.126673,642.484311,2024-08-23 17:40:07.963000+00:00,29.24328251477388,17.197995458149325,5.635,3.0519956447469965,-0.06733405058769132,0.751798000000008,0.043686467430101836,2.5673579626622463,42.84279388221397,-6.733405058769132,38.67674678610708
47.593785,12.127233,644.599064,2024-08-23 17:40:23.009000+00:00,28.545555654722584,48.37672979434082,15.046,3.215255203664816,0.01085069512945764,2.1147529999999506,0.04368644797550543,2.849374323056195,42.84277481546388,1.085069512945764,46.777218651465844
47.593824,12.127461,645.370124,2024-08-23 17:40:28.716000+00:00,28.126737045629163,17.638640614104304,5.707,3.090702753478939,-0.021824505026437187,0.771060000000034,0.04368643992880086,2.6328922425436074,42.8427669291782,-2.182450502643719,43.29320866907808
47.593843,12.128009,647.168861,2024-08-23 17:40:42.673000+00:00,29.96667990162493,41.14761079622532,13.957,2.9481701509081693,-0.010212266430520157,1.79873699999996,0.04368643817097403,2.395651807668313,42.842765206395356,-1.0212266430520156,44.217190371011654
47.593864,12.128569,648.682001,2024-08-23 17:40:55.706000+00:00,28.709609217007245,42.05804827026103,13.033,3.2270427584025962,0.02139742250398427,1.5131400000000212,0.03596190769858783,2.8703049933564744,35.271027877206606,2.139742250398427,40.28107512096151
47.59386,12.129086,649.683566,2024-08-23 17:41:06.089000+00:00,28.686964645956472,38.77124426119306,10.383,3.734108086409811,0.04883610979555183,1.0015650000000278,0.0258269322466625,3.843194607273183,25.333403956238215,4.883610979555183,34.06020954306658
47.593769,12.129362,650.278694,2024-08-23 17:41:11.377000+00:00,28.667937456445,23.037800671336694,5.288,4.356618886410116,0.11772140695921052,0.5951279999999315,0.02582693026107868,5.231397813467854,25.33340200903009,11.772140695921053,42.336940518419
47.593631,12.129531,650.792804,2024-08-23 17:41:15.514000+00:00,28.779042380383927,19.90151532124724,4.137,4.810615257734407,0.10974048134500618,0.5141100000000733,0.02582696228649623,6.378519030409162,25.333433415487256,10.974048134500618,42.686000580397035
47.59337,12.129703,651.613221,2024-08-23 17:41:22.178000+00:00,28.60781979403803,31.758895528099732,6.664,4.765740625465146,-0.00673388839574732,0.8204169999999067,0.025826923890098427,6.26007319735071,25.333395761182793,-0.673388839574732,30.920080118958772
47.593208,12.129807,652.120299,2024-08-23 17:41:26.295000+00:00,28.393168996559883,19.629328514433,4.117,4.767871876228564,0.0005176708193872892,0.5070780000000923,0.025826927761038666,6.265673489128686,25.333399557308752,0.051767081938728914,31.650840128376167
